"Ｋ-03 産業別使用電力量_ 和歌山共同火力（株）__ (製造業)","百万kwh","1177.0","1173.0","","1185.0","1205.0","1236.0","1249.0","1240.0","1208.0","1208.0","1238.0","1228.0","1246.0","1213.0","1218.0","1248.0","1213.0","1210.0","1239.0","1223.0","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｋ-04 全国及び近畿府県の使用電力量_  電気事業用計_ 全  国","百万kwh","521895.0","516037.0","548413.0","574344.0","608854.0","658933.0","679237.0","685710.0","690578.0","740097.0","756975.0","774602.0","791451.0","798971.0","816920.0","837923.0","824100.0","841474.0","834305.0","865428.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_  電気事業用計_ 滋賀県","百万kwh","7534.0","7611.0","8083.0","8585.0","9263.0","10016.0","10363.0","10406.0","10518.0","11100.0","11447.0","11749.0","11953.0","12120.0","12386.0","12708.0","12268.0","12525.0","12466.0","13005.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_  電気事業用計_ 京都府","百万kwh","10289.0","10480.0","11058.0","11459.0","11938.0","12897.0","13252.0","13253.0","13350.0","14486.0","14763.0","15044.0","15215.0","15519.0","15857.0","16231.0","15847.0","16071.0","15886.0","16327.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_  電気事業用計_ 大阪府","百万kwh","42878.0","42840.0","45743.0","47360.0","49429.0","53025.0","53394.0","53089.0","53089.0","57213.0","57823.0","58782.0","58915.0","59348.0","59693.0","60394.0","59166.0","59710.0","58786.0","60497.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_  電気事業用計_ 兵庫県","百万kwh","28154.0","27160.0","28517.0","29907.0","31207.0","33130.0","33762.0","33840.0","34110.0","35938.0","36241.0","36950.0","37306.0","37560.0","37889.0","38724.0","38017.0","38831.0","38526.0","39954.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_  電気事業用計_ 奈良県","百万kwh","4305.0","4345.0","4652.0","4882.0","5195.0","5621.0","5831.0","5976.0","6158.0","6697.0","6922.0","7090.0","7139.0","7293.0","7465.0","7603.0","7477.0","7626.0","7544.0","7827.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_  電気事業用計_ 和歌山県","百万kwh","4174.0","4063.0","4316.0","4462.0","4721.0","5204.0","5403.0","5351.0","5464.0","5823.0","5917.0","6035.0","6173.0","6236.0","6352.0","6403.0","6232.0","6267.0","6258.0","6466.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電灯_ 全  国","百万kwh","133303.0","","","","","177419.0","185326.0","192136.0","197695.0","215515.0","224650.0","228231.0","232371.0","240938.0","248234.0","254592.0","254469.0","263439.0","259654.0","272547.0","281289.0","278311.0","289723.0","285283.0","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電灯_ 滋賀県","百万kwh","1236.0","","","","","1727.0","1809.0","1892.0","1969.0","2169.0","2310.0","2373.0","2404.0","2517.0","2615.0","2710.0","2725.0","2829.0","2809.0","2957.0","3147.0","3169.0","3349.0","3334.0","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電灯_ 京都府","百万kwh","3255.0","","","","","4280.0","4404.0","4509.0","4613.0","5098.0","5272.0","5314.0","5296.0","5501.0","5655.0","5779.0","5755.0","5911.0","5784.0","6066.0","6330.0","6250.0","6475.0","6362.0","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電灯_ 大阪府","百万kwh","10970.0","","","","","14456.0","14799.0","14965.0","15216.0","16986.0","17460.0","17602.0","17582.0","18337.0","18679.0","18984.0","18878.0","19351.0","18797.0","19733.0","20434.0","20214.0","20893.0","20399.0","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電灯_ 兵庫県","百万kwh","6041.0","","","","","8003.0","8291.0","8506.0","8769.0","9621.0","9868.0","10204.0","10284.0","10817.0","11135.0","11377.0","11396.0","11768.0","11598.0","12132.0","12676.0","12602.0","13107.0","12891.0","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電灯_ 奈良県","百万kwh","1479.0","","","","","2041.0","2119.0","2178.0","2269.0","2497.0","2614.0","2656.0","2667.0","2765.0","2854.0","2916.0","2929.0","3013.0","2955.0","3082.0","3204.0","3191.0","3306.0","3238.0","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電灯_ 和歌山県","百万kwh","1340.0","","","","","1711.0","1777.0","1805.0","1881.0","2056.0","2142.0","2169.0","2172.0","2285.0","2336.0","2355.0","2375.0","2434.0","2416.0","2521.0","2606.0","2612.0","2714.0","2668.0","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電力_ 全  国","百万kwh","388592.0","","","","","481514.0","493911.0","493575.0","492883.0","524582.0","532325.0","546371.0","559080.0","558034.0","568686.0","583331.0","569630.0","578035.0","574651.0","592881.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電力_ 滋賀県","百万kwh","6298.0","","","","","8288.0","8555.0","8515.0","8549.0","8931.0","9137.0","9376.0","9549.0","9603.0","9771.0","9998.0","9543.0","9696.0","9658.0","10047.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電力_ 京都府","百万kwh","7034.0","","","","","8617.0","8848.0","8744.0","8738.0","9388.0","9491.0","9730.0","9919.0","10018.0","10202.0","10452.0","10093.0","10160.0","10102.0","10261.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電力_ 大阪府","百万kwh","31908.0","","","","","38569.0","38595.0","38125.0","37873.0","40227.0","40363.0","41180.0","41333.0","41012.0","41014.0","41410.0","40288.0","40360.0","39988.0","40764.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電力_ 兵庫県","百万kwh","22113.0","","","","","25127.0","25470.0","25334.0","25314.0","26317.0","26373.0","26746.0","27022.0","26743.0","26754.0","27347.0","26621.0","27063.0","26927.0","27822.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電力_ 奈良県","百万kwh","2826.0","","","","","3580.0","3713.0","3798.0","3889.0","4200.0","4308.0","4434.0","4471.0","4527.0","4611.0","4688.0","4547.0","4613.0","4589.0","4745.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　電力_ 和歌山県","百万kwh","2834.0","","","","","3494.0","3626.0","3546.0","3582.0","3767.0","3775.0","3866.0","4001.0","3951.0","4016.0","4048.0","3857.0","3833.0","3843.0","3946.0","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　大口電力_ 全  国","百万kwh","204099.0","","","","","248101.0","252159.0","247518.0","242447.0","252433.0","254737.0","260241.0","265322.0","256101.0","259730.0","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　大口電力_ 滋賀県","百万kwh","4328.0","","","","","5837.0","6040.0","5969.0","5982.0","6094.0","6257.0","6349.0","6470.0","6451.0","6558.0","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　大口電力_ 京都府","百万kwh","3179.0","","","","","3955.0","4067.0","3953.0","3899.0","4048.0","4108.0","4187.0","4423.0","4105.0","4171.0","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　大口電力_ 大阪府","百万kwh","15306.0","","","","","18175.0","17793.0","17504.0","17104.0","17593.0","17487.0","17688.0","17469.0","16499.0","16331.0","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　大口電力_ 兵庫県","百万kwh","14306.0","","","","","15584.0","15574.0","15336.0","15024.0","15280.0","15521.0","15300.0","15319.0","14536.0","14354.0","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　大口電力_ 奈良県","百万kwh","10047.0","","","","","1304.0","1383.0","1458.0","1497.0","1635.0","1690.0","1730.0","1721.0","1703.0","1713.0","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","",""
"Ｋ-04 全国及び近畿府県の使用電力量_　　　　大口電力_ 和歌山県","百万kwh","1097.0","","","","","1487.0","1561.0","1481.0","1457.0","1480.0","1463.0","1507.0","1631.0","1491.0","1508.0","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況_大阪ガス（株）_県内ｶﾞｽ管_総延長","ｍ","","","","","","","","","","640486.0","647893.0","676209.0","704084.0","727923.0","745447.0","758654.0","770581.0","774930.0","788471.0","809371.0","838731.0","870304.0","898505.0","921293.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況_大阪ガス（株）_和歌山市_取付ﾒ-ﾀ-個数","","","","","","","","","","","50500.0","50931.0","51301.0","51849.0","52435.0","52888.0","53513.0","53691.0","54314.0","54452.0","54466.0","54767.0","55235.0","55650.0","55957.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況_大阪ガス（株）__販売量","千ｍ3","","","","","","","","","","74784.0","78677.0","84444.0","85598.0","88622.0","99797.0","130980.0","132079.0","138642.0","150556.0","156249.0","165338.0","176495.0","172210.0","163677.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況_大阪ガス（株）__供給区域内世帯数","世帯","","","","","","","","","","103811.0","104364.0","105030.0","105637.0","106340.0","106975.0","104708.0","105477.0","106151.0","106900.0","110027.0","107866.0","108750.0","109750.0","112730.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況_大阪ガス（株）_海南市_取付ﾒ-ﾀ-個数","","","","","","","","","","","4125.0","4150.0","4147.0","4201.0","4219.0","4278.0","4346.0","4322.0","4322.0","4275.0","4231.0","4204.0","4159.0","4125.0","4090.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況_大阪ガス（株）_ _販売量","千ｍ3","","","","","","","","","","1885.0","2134.0","2228.0","2185.0","1587.0","46637.0","62068.0","66290.0","55375.0","60005.0","69417.0","73986.0","76058.0","74049.0","76316.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況_大阪ガス（株）__供給区域内世帯数","世帯","","","","","","","","","","9980.0","10013.0","10038.0","10012.0","10005.0","9979.0","9902.0","9897.0","9920.0","9796.0","9592.0","9533.0","9481.0","9431.0","944.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況_大阪ガス（株）_岩出町_取付ﾒ-ﾀ-個数","","","","","","","","","","","-","-","32.0","383.0","605.0","906.0","1151.0","1358.0","1395.0","1514.0","1570.0","1804.0","1952.0","2037.0","2234.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況_大阪ガス（株）__販売量","千ｍ3","","","","","","","","","","-","-","-","58.0","275.0","532.0","910.0","1498.0","1657.0","1752.0","1828.0","2079.0","2523.0","2661.0","2807.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況_大阪ガス（株）__供給区域内世帯数","世帯","","","","","","","","","","-","6305.0","6588.0","6806.0","7375.0","7792.0","8066.0","8580.0","8807.0","9047.0","9208.0","9890.0","10805.0","11072.0","11397.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況_新宮ガス（株）_新宮市_県内ｶﾞｽ管総延長","ｍ","","","","","","","","","","49090.0","49851.0","50718.0","51663.0","52769.0","53704.0","54220.0","54517.0","54742.0","54820.0","55458.0","55765.0","55847.0","55905.0","55886.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況___取付ﾒ-ﾀ-個数","","","","","","","","","","","4426.0","4495.0","4559.0","4583.0","4613.0","4532.0","4415.0","4415.0","4412.0","4380.0","4386.0","4360.0","4358.0","4321.0","4287.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況___販売量","千ｍ3","","","","","","","","","","1725.0","1807.0","1845.0","1779.0","1760.0","1789.0","1753.0","1676.0","1690.0","1655.0","1601.0","1583.0","1511.0","1437.0","1332.0","",""
"Ｋ-05 一般ガス事業ガス生産量及び普及状況___供給区域内世帯数","世帯","","","","","","","","","","8658.0","8658.0","8670.0","8666.0","8980.0","8974.0","8969.0","8980.0","9027.0","9027.0","8937.0","8892.0","8830.0","8818.0","8798.0","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｋ-06 一般ガス事業ガス販売量_大阪ガス（株）_　都市ガス（天然ガス13Ａ）販売量_総数","千ｍ3","","21534.0","23194.0","29359.0","30771.0","42640.0","44742.0","69036.0","73023.0","78394.0","80811.0","86672.0","87840.0","104765.0","146966.0","193958.0","199866.0","195257.0","212313.0","227495.0","241403.0","255076.0","248920.0","242801.0","",""
"Ｋ-06 一般ガス事業ガス販売量_大阪ガス（株）_　都市ガス（天然ガス13Ａ）販売量_ 工業用","千ｍ3","","486.0","605.0","726.0","6105.0","17626.0","18641.0","42691.0","44852.0","47560.0","49796.0","55261.0","56412.0","70354.0","102819.0","148304.0","155375.0","150504.0","168286.0","181741.0","193300.0","207058.0","202640.0","197323.0","",""
"Ｋ-06 一般ガス事業ガス販売量_大阪ガス（株）_　都市ガス（天然ガス13Ａ）販売量_ 商業用","千ｍ3","","5602.0","6884.0","7283.0","7539.0","7596.0","7729.0","7518.0","8207.0","10315.0","10086.0","10087.0","10344.0","11496.0","12010.0","13183.0","13297.0","13463.0","13350.0","14178.0","15915.0","16065.0","15506.0","15522.0","",""
"Ｋ-06 一般ガス事業ガス販売量_大阪ガス（株）_　都市ガス（天然ガス13Ａ）販売量_ 医療用","千ｍ3","","1015.0","1068.0","1200.0","1415.0","1540.0","1627.0","1570.0","1640.0","1845.0","1923.0","2111.0","2123.0","3917.0","12173.0","11801.0","11133.0","10362.0","10019.0","10358.0","10454.0","10456.0","9351.0","8981.0","",""
"Ｋ-06 一般ガス事業ガス販売量_大阪ガス（株）_　都市ガス（天然ガス13Ａ）販売量_ 家庭用","千ｍ3","","12834.0","13030.0","13552.0","14146.0","14259.0","15096.0","15637.0","16497.0","16599.0","16985.0","17003.0","16887.0","16571.0","17497.0","17733.0","17341.0","18008.0","17844.0","17560.0","18059.0","17975.0","17800.0","17470.0","",""
"Ｋ-06 一般ガス事業ガス販売量_大阪ガス（株）_　都市ガス（天然ガス13Ａ）販売量_ 公  用","千ｍ3","","1598.0","1606.0","1598.0","1565.0","1619.0","1648.0","1620.0","1828.0","2076.0","2021.0","2210.0","2073.0","2427.0","2468.0","2937.0","2720.0","2919.0","2813.0","3658.0","3674.0","3522.0","3623.0","3505.0","",""
"Ｋ-06 一般ガス事業ガス販売量_大阪ガス（株）_　都市ガス（天然ガス13Ａ）販売量_ 自家消費量","千ｍ3","","55.0","57.0","52.0","55.0","52.0","64.0","63.0","46.0","61.0","61.0","69.0","62.0","74.0","67.0","67.0","70.0","198.0","274.0","260.0","299.0","348.0","336.0","340.0","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｋ-06 一般ガス事業ガス販売量_新宮ガス（株）_　都市ガス（天然ガス13Ａ）販売量_総数","千ｍ3","","","","","","","","","","","1807.0","1845.0","1779.0","1760.0","1789.0","1753.0","1676.0","1690.0","1655.0","1601.0","1590.0","1511.0","1437.0","1332.0","",""
"Ｋ-06 一般ガス事業ガス販売量_新宮ガス（株）_　都市ガス（天然ガス13Ａ）販売量_ 工業用","千ｍ3","","","","","","","","","","","-","-","-","-","-","－","－","－ ","－ ","－ ","－ ","－ ","－ ","－ ","",""
"Ｋ-06 一般ガス事業ガス販売量_新宮ガス（株）_　都市ガス（天然ガス13Ａ）販売量_ 商業用","千ｍ3","","","","","","","","","","","514.0","511.0","486.0","499.0","534.0","522.0","496.0","499.0","480.0","478.0","464.0","445.0","422.0","380.0","",""
