"Ｐ-03 農業物価指数_Ａ．農産物_米_自主流通","","107.3","101.7","99.4","98.7","91.6","100.0","96.5","","","","","","","","","","","","","","","","","","1.0"
"Ｐ-03 農業物価指数_Ａ．農産物_米_計画外流通","","105.2","104.6","101.3","99.8","101.2","100.0","101.2","","","","","","","","","","","","","","","","","","1.0"
"Ｐ-03 農業物価指数_Ａ．農産物_麦","","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","1.0"
"Ｐ-03 農業物価指数_Ａ．農産物_豆","","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","1.0"
"Ｐ-03 農業物価指数_Ａ．農産物_いも","","63.5","62.0","64.0","92.0","90.6","100.0","97.3","","","","","","","","","","","","","","","","","","1.0"
"Ｐ-03 農業物価指数_Ａ．農産物_ 野菜","","67.8","65.8","63.4","73.0","77.3","100.0","101.0","","","","","","","","","","","","","","","","","","1.0"
"Ｐ-03 農業物価指数_Ａ．農産物_ 野菜_ 果菜類","","82.2","67.7","71.6","91.1","94.5","100.0","118.1","","","","","","","","","","","","","","","","","","1.0"
"Ｐ-03 農業物価指数_Ａ．農産物_ 野菜_ 葉茎菜類","","49.1","56.8","45.0","65.4","59.3","100.0","80.9","","","","","","","","","","","","","","","","","","1.0"
"Ｐ-03 農業物価指数_Ａ．農産物_ 野菜_ 根菜類","","56.9","57.5","40.2","46.4","66.6","100.0","91.3","","","","","","","","","","","","","","","","","","1.0"
"Ｐ-03 農業物価指数_Ａ．農産物_ 野菜_まめ科野菜","","93.4","86.3","105.4","85.3","98.3","100.0","106.2","","","","","","","","","","","","","","","","","","1.0"
"Ｐ-03 農業物価指数_Ａ．農産物_ 果実","","91.0","85.5","73.1","87.4","100.8","100.0","136.4","","","","","","","","","","","","","","","","","","1.0"
"Ｐ-03 農業物価指数_Ａ．農産物_工芸作物","","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","1.0"
