"項目","単位","1985.0","1986.0","1987.0","1988.0","1989.0","1990.0","1991.0","1992.0","1993.0","1994.0","1995.0","1996.0","1997.0","1998.0","1999.0","2000.0","2001.0","2002.0","2003.0","2004.0","2005.0","2006.0","2007.0","2008.0","2009.0","2010.0","有効数字(少数桁)"
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｂ．参議院和歌山県選挙区選出議員選挙___男","人","･･･","･･･","･･･","･･･","･･･","･･･","","234519.0","･･･","･･･","･･･","･･･","･･･","215552.0","･･･","･･･","273968.0","･･･","･･･","269509.0","","","271612.0","","","267059.0",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｂ．参議院和歌山県選挙区選出議員選挙___女","％","･･･","･･･","･･･","･･･","･･･","･･･","","53.125385965974445","･･･","･･･","･･･","･･･","･･･","46.659512480038195","･･･","･･･","58.93296294500288","･･･","･･･","58.42685339496014","","","59.3","","","59.3810182707924",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｂ．参議院和歌山県選挙区選出議員選挙_ 投票率","％","･･･","･･･","･･･","･･･","･･･","･･･","","52.95603355504558","･･･","･･･","･･･","･･･","･･･","46.28009212873284","･･･","･･･","58.39869797583649","･･･","･･･","58.426144256103775","","","59.6","","","59.9361562627365",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｂ．参議院和歌山県選挙区選出議員選挙___男","％","･･･","･･･","･･･","･･･","･･･","･･･","","53.273741240075864","･･･","･･･","･･･","･･･","･･･","46.993880278450604","･･･","･･･","59.402007762190756","･･･","･･･","58.42747538865439","","","59.19","","","58.8973846075809",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｂ．参議院和歌山県選挙区選出議員選挙___女","","･･･","･･･","･･･","･･･","･･･","･･･","","","","","","","","","","","","","","","","","","","","",""
"","人","･･･","･･･","･･･","･･･","･･･","･･･","505796.0","･･･","･･･","･･･","624950.0","･･･","･･･","･･･","807780.0","･･･","･･･","･･･","630010.0","","","","547950.0","","","",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｃ．県議会議員選挙_有権者数","人","･･･","･･･","･･･","･･･","･･･","･･･","235456.0","･･･","･･･","･･･","291937.0","･･･","･･･","･･･","377511.0","･･･","･･･","･･･","294154.0","","","","256000.0","","","",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｃ．県議会議員選挙__男","人","･･･","･･･","･･･","･･･","･･･","･･･","270340.0","･･･","･･･","･･･","333013.0","･･･","･･･","･･･","430269.0","･･･","･･･","･･･","335856.0","","","","291950.0","","","",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｃ．県議会議員選挙__女","人","･･･","･･･","･･･","･･･","･･･","･･･","356821.0","･･･","･･･","･･･","399809.0","･･･","･･･","･･･","535527.0","･･･","･･･","･･･","390091.0","","","","295507.0","","","",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｃ．県議会議員選挙_投票者数","人","･･･","･･･","･･･","･･･","･･･","･･･","161151.0","･･･","･･･","･･･","181032.0","･･･","･･･","･･･","244075.0","･･･","･･･","･･･","176335.0","","","","134559.0","","","",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｃ．県議会議員選挙__男","人","･･･","･･･","･･･","･･･","･･･","･･･","195670.0","･･･","･･･","･･･","218777.0","･･･","･･･","･･･","291452.0","･･･","･･･","･･･","213756.0","","","","160948.0","","","",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｃ．県議会議員選挙__女","％","･･･","･･･","･･･","･･･","･･･","･･･","70.54642583175827","･･･","･･･","･･･","63.97455796463717","･･･","･･･","･･･","66.29614498997252","･･･","･･･","･･･","61.918223520261584","","","","53.93","","","",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｃ．県議会議員選挙_ 投票率","％","･･･","･･･","･･･","･･･","･･･","･･･","68.44208684425116","･･･","･･･","･･･","62.01063928176285","･･･","･･･","･･･","64.65374518888191","･･･","･･･","･･･","60.0","","","","52.56","","","",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｃ．県議会議員選挙__男","％","･･･","･･･","･･･","･･･","･･･","･･･","72.37922615965081","･･･","･･･","･･･","65.6962340809518","･･･","･･･","･･･","67.7371597767908","･･･","･･･","･･･","63.7","","","","55.13","","","",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｃ．県議会議員選挙__女","","･･･","･･･","･･･","･･･","･･･","･･･","","","","","","","","","","","","","","","","","","","","",""
"","人","･･･","･･･","･･･","･･･","･･･","･･･","813854.0","","","","848090.0","･･･","･･･","･･･","859286.0","860241.0","･･･","･･･","･･･","859241.0","","854628.0","","","","840933.0",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｄ．県知事選挙_有権者数","人","･･･","･･･","･･･","･･･","･･･","･･･","379519.0","･･･","･･･","･･･","396678.0","･･･","･･･","･･･","401764.0","402157.0","･･･","･･･","･･･","401181.0","","398616.0","","","","391378.0",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｄ．県知事選挙_有権者数_男","人","･･･","･･･","･･･","･･･","･･･","･･･","434335.0","･･･","･･･","･･･","451412.0","･･･","･･･","･･･","457522.0","458084.0","･･･","･･･","･･･","458060.0","","456012.0","","","","449555.0",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｄ．県知事選挙_有権者数_女","人","･･･","･･･","･･･","･･･","･･･","･･･","451643.0","･･･","･･･","･･･","595990.0","･･･","･･･","･･･","422243.0","441428.0","･･･","･･･","･･･","320402.0","","300905.0","","","","364717.0",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｄ．県知事選挙_投票者数","人","･･･","･･･","･･･","･･･","･･･","･･･","203916.0","･･･","･･･","･･･","272476.0","･･･","･･･","･･･","192433.0","203689.0","･･･","･･･","･･･","149090.0","","140431.0","","","","170160.0",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｄ．県知事選挙_投票者数_男","人","･･･","･･･","･･･","･･･","･･･","･･･","247727.0","･･･","･･･","･･･","323514.0","･･･","･･･","･･･","229810.0","237739.0","･･･","･･･","･･･","171312.0","","160474.0","","","","194557.0",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｄ．県知事選挙_投票者数_女","％","･･･","･･･","･･･","･･･","･･･","･･･","55.49435156674293","･･･","･･･","･･･","70.27438125670625","･･･","･･･","･･･","49.13881990396678","51.314457227683874","･･･","･･･","･･･","37.28895618342234","","35.21","","","","43.37",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｄ．県知事選挙_ 投票率","％","･･･","･･･","･･･","･･･","･･･","･･･","53.73011627876338","･･･","･･･","･･･","68.68946601525671","･･･","･･･","･･･","47.897024123614855","50.64912459561813","･･･","･･･","･･･","37.16277690119921","","35.23","","","","43.48",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｄ．県知事選挙_ 投票率_男","％","･･･","･･･","･･･","･･･","･･･","･･･","57.03592848837879","･･･","･･･","･･･","71.66712448937999","･･･","･･･","･･･","50.22927859206771","51.89856008941591","･･･","･･･","･･･","37.399467318691876","","35.19","","","","43.28",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｄ．県知事選挙_ 投票率_女","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
